Variable,index0,index1,I.val,P.val,index,Pgd.val,Ps.val,Q.val,Qgd.val,Qs.val,V.val
I,1.0,2.0,5.641777133551741,,,,,,,,
I,2.0,3.0,3.16231465918584,,,,,,,,
I,2.0,19.0,2.9446168012574927,,,,,,,,
I,3.0,4.0,3.67986668003925,,,,,,,,
I,3.0,23.0,1.0389787544587135,,,,,,,,
I,4.0,5.0,3.748583618585957,,,,,,,,
I,5.0,6.0,3.7889569826905425,,,,,,,,
I,6.0,7.0,1.257749582856147,,,,,,,,
I,6.0,26.0,2.577533970122155,,,,,,,,
I,7.0,8.0,1.4045250647078151,,,,,,,,
I,8.0,9.0,1.5675447727459344,,,,,,,,
I,9.0,10.0,1.6205376405922078,,,,,,,,
I,10.0,11.0,0.747000544552434,,,,,,,,
I,11.0,12.0,0.2487688703927488,,,,,,,,
I,12.0,13.0,0.2003653929183043,,,,,,,,
I,13.0,14.0,0.16486575857622712,,,,,,,,
I,14.0,15.0,0.1609224133995278,,,,,,,,
I,15.0,16.0,0.2076315198954045,,,,,,,,
I,16.0,17.0,0.25663946258294956,,,,,,,,
I,17.0,18.0,0.30968234026940356,,,,,,,,
I,19.0,20.0,2.646978439731193,,,,,,,,
I,20.0,21.0,1.7612055105837954,,,,,,,,
I,21.0,22.0,0.8790541349122404,,,,,,,,
I,23.0,24.0,0.9363735334070272,,,,,,,,
I,24.0,25.0,0.4689553448541109,,,,,,,,
I,26.0,27.0,2.6224721415199954,,,,,,,,
I,27.0,28.0,2.6681579353055858,,,,,,,,
I,28.0,29.0,1.8331552473430182,,,,,,,,
I,29.0,30.0,1.106178664387128,,,,,,,,
I,30.0,31.0,0.2817209249501989,,,,,,,,
I,31.0,32.0,0.133503718597654,,,,,,,,
I,32.0,33.0,0.20414711390314244,,,,,,,,
P,1.0,2.0,,-5.01831037152611,,,,,,,
P,2.0,3.0,,-2.2081259563402926,,,,,,,
P,2.0,19.0,,-2.949816495273769,,,,,,,
P,3.0,4.0,,-3.2682319016787322,,,,,,,
P,3.0,23.0,,0.936144459844057,,,,,,,
P,4.0,5.0,,-3.421644000183759,,,,,,,
P,5.0,6.0,,-3.5550032507555596,,,,,,,
P,6.0,7.0,,-1.173435730008958,,,,,,,
P,6.0,26.0,,-2.4518337299021065,,,,,,,
P,7.0,8.0,,-1.3821914169729108,,,,,,,
P,8.0,9.0,,-1.597982108475687,,,,,,,
P,9.0,10.0,,-1.6750875563211591,,,,,,,
P,10.0,11.0,,-0.7357737773379921,,,,,,,
P,11.0,12.0,,0.09880445691774398,,,,,,,
P,12.0,13.0,,0.03843912789623056,,,,,,,
P,13.0,14.0,,-0.021652120327077612,,,,,,,
P,14.0,15.0,,-0.14174709721071913,,,,,,,
P,15.0,16.0,,-0.20194730551677492,,,,,,,
P,16.0,17.0,,-0.2624763719451171,,,,,,,
P,17.0,18.0,,-0.3226968009391608,,,,,,,
P,19.0,20.0,,-2.718656951460436,,,,,,,
P,20.0,21.0,,-1.8165821150897077,,,,,,,
P,21.0,22.0,,-0.9099999700264761,,,,,,,
P,23.0,24.0,,0.8412320317005112,,,,,,,
P,24.0,25.0,,0.4199999355506571,,,,,,,
P,26.0,27.0,,-2.524028324659862,,,,,,,
P,27.0,28.0,,-2.6310616402903655,,,,,,,
P,28.0,29.0,,-1.7079255619446798,,,,,,,
P,29.0,30.0,,-0.8318004876192681,,,,,,,
P,30.0,31.0,,-0.2081512082852394,,,,,,,
P,31.0,32.0,,-0.0005055629718159094,,,,,,,
P,32.0,33.0,,-0.2105892686905165,,,,,,,
Pgd,,,,,1.0,0.0,,,,,
Pgd,,,,,2.0,4.1644779399859847e-07,,,,,
Pgd,,,,,3.0,1.8145506162367228e-07,,,,,
Pgd,,,,,4.0,1.7868918470517126e-07,,,,,
Pgd,,,,,5.0,1.881533530540507e-07,,,,,
Pgd,,,,,6.0,2.805441416555578e-07,,,,,
Pgd,,,,,7.0,2.977877616841425e-07,,,,,
Pgd,,,,,8.0,3.105352077691137e-07,,,,,
Pgd,,,,,9.0,6.649756317481323e-07,,,,,
Pgd,,,,,10.0,0.9999982561402004,,,,,
Pgd,,,,,11.0,0.8797227985939231,,,,,
Pgd,,,,,12.0,2.379686540725012e-06,,,,,
Pgd,,,,,13.0,6.003165271726646e-07,,,,,
Pgd,,,,,14.0,5.121119505798365e-07,,,,,
Pgd,,,,,15.0,5.308889563487417e-07,,,,,
Pgd,,,,,16.0,6.366921440282846e-07,,,,,
Pgd,,,,,17.0,2.162188997676461e-06,,,,,
Pgd,,,,,18.0,0.4126968009391608,,,,,
Pgd,,,,,19.0,0.38691605859762157,,,,,
Pgd,,,,,20.0,0.9999999569084203,,,,,
Pgd,,,,,21.0,0.999999964879813,,,,,
Pgd,,,,,22.0,0.9999999700264761,,,,,
Pgd,,,,,23.0,1.2492994336344251e-07,,,,,
Pgd,,,,,24.0,7.766620967840758e-08,,,,,
Pgd,,,,,25.0,6.444934288437081e-08,,,,,
Pgd,,,,,26.0,3.40229846657986e-07,,,,,
Pgd,,,,,27.0,5.07541140012002e-07,,,,,
Pgd,,,,,28.0,0.9999996303010205,,,,,
Pgd,,,,,29.0,0.999999604748566,,,,,
Pgd,,,,,30.0,0.8241318406507007,,,,,
