Desde,Hasta,Línea,R (pu),X (pu),Imax (pu)
1,2,1-2,0.00057526,0.00029324,8770.848
2,3,2-3,0.00307595,0.00156668,8770.848
3,4,3-4,0.00228357,0.001163,8770.848
4,5,4-5,0.00237778,0.00121104,8770.848
5,6,5-6,0.00510995,0.00441115,8770.848
6,7,6-7,0.00116799,0.00386085,8770.848
7,8,7-8,0.0044386,0.00146685,8770.848
8,9,8-9,0.00642643,0.00461705,8770.848
9,10,9-10,0.00651378,0.00461705,8770.848
10,11,10-11,0.00122664,0.00040555,8770.848
11,12,11-12,0.00233598,0.00077242,8770.848
12,13,12-13,0.00915922,0.00720634,8770.848
13,14,13-14,0.00337918,0.00444796,8770.848
14,15,14-15,0.0036874,0.00328185,8770.848
15,16,15-16,0.00465635,0.00340039,8770.848
16,17,16-17,0.0080424,0.01073775,8770.848
17,18,17-18,0.002321,0.00358133,8770.848
2,19,2-19,0.00102324,0.00097644,8770.848
19,20,2-20,0.00938508,0.00845668,8770.848
20,21,20-21,0.00255497,0.00298486,8770.848
21,22,21-22,0.00442301,0.00584805,8770.848
3,23,3-23,0.00281515,0.00192356,8770.848
23,24,23-24,0.00560285,0.00442425,8770.848
24,25,24-25,0.00559037,0.00437434,8770.848
6,26,6-26,0.00126657,0.00064514,8770.848
26,27,26-27,0.0017732,0.00090282,8770.848
27,28,27-28,0.00660737,0.00582559,8770.848
28,29,28-29,0.00501761,0.00437122,8770.848
29,30,29-30,0.00316642,0.00161285,8770.848
30,31,30-31,0.00607953,0.0060084,8770.848
31,32,31-32,0.00193729,0.00225799,8770.848
32,33,32-33,0.00212759,0.00330805,8770.848
8,21,8-21,0.01247851,0.01247851,8770.848
12,22,12-22,0.01247851,0.01247851,8770.848
9,15,9-15,0.01247851,0.01247851,8770.848
18,33,18-33,0.00311963,0.00311963,8770.848
25,29,25-29,0.00311963,0.00311963,8770.848
