Variable,index0,index1,index2,PI.val,PR.val,index,Pgd.val,Ps.val,Qgd.val,Qs.val
PI,1.0,2.0,12.0,0.0,,,,,,
PI,2.0,3.0,12.0,0.0,,,,,,
PI,2.0,19.0,12.0,0.0,,,,,,
PI,3.0,4.0,12.0,0.0,,,,,,
PI,3.0,23.0,12.0,0.0,,,,,,
PI,4.0,5.0,12.0,0.0,,,,,,
PI,5.0,6.0,12.0,0.0,,,,,,
PI,6.0,7.0,12.0,0.0,,,,,,
PI,6.0,26.0,12.0,0.0,,,,,,
PI,7.0,8.0,12.0,0.0,,,,,,
PI,8.0,9.0,12.0,0.0,,,,,,
PI,9.0,10.0,12.0,0.0,,,,,,
PI,10.0,11.0,12.0,0.0,,,,,,
PI,11.0,12.0,12.0,0.0,,,,,,
PI,12.0,13.0,12.0,0.0,,,,,,
PI,13.0,14.0,12.0,0.0,,,,,,
PI,14.0,15.0,12.0,0.0,,,,,,
PI,15.0,16.0,12.0,0.0,,,,,,
PI,16.0,17.0,12.0,0.0,,,,,,
PI,17.0,18.0,12.0,0.0,,,,,,
PI,19.0,20.0,12.0,0.0,,,,,,
PI,20.0,21.0,12.0,0.0,,,,,,
PI,21.0,22.0,12.0,0.0,,,,,,
PI,23.0,24.0,12.0,0.0,,,,,,
PI,24.0,25.0,12.0,0.0,,,,,,
PI,26.0,27.0,12.0,0.0,,,,,,
PI,27.0,28.0,12.0,0.0,,,,,,
PI,28.0,29.0,12.0,0.0,,,,,,
PI,29.0,30.0,12.0,0.0,,,,,,
PI,30.0,31.0,12.0,0.0,,,,,,
PI,31.0,32.0,12.0,0.0,,,,,,
PI,32.0,33.0,12.0,0.0,,,,,,
PR,1.0,2.0,12.0,,0.0,,,,,
PR,2.0,3.0,12.0,,0.0,,,,,
PR,2.0,19.0,12.0,,0.0,,,,,
PR,3.0,4.0,12.0,,0.0,,,,,
PR,3.0,23.0,12.0,,0.0,,,,,
PR,4.0,5.0,12.0,,0.0,,,,,
PR,5.0,6.0,12.0,,0.0,,,,,
PR,6.0,7.0,12.0,,0.0,,,,,
PR,6.0,26.0,12.0,,0.0,,,,,
PR,7.0,8.0,12.0,,0.0,,,,,
PR,8.0,9.0,12.0,,0.0,,,,,
PR,9.0,10.0,12.0,,0.0,,,,,
PR,10.0,11.0,12.0,,0.0,,,,,
PR,11.0,12.0,12.0,,0.0,,,,,
PR,12.0,13.0,12.0,,0.0,,,,,
PR,13.0,14.0,12.0,,0.0,,,,,
PR,14.0,15.0,12.0,,0.0,,,,,
PR,15.0,16.0,12.0,,0.0,,,,,
PR,16.0,17.0,12.0,,0.0,,,,,
PR,17.0,18.0,12.0,,0.0,,,,,
PR,19.0,20.0,12.0,,0.0,,,,,
PR,20.0,21.0,12.0,,0.0,,,,,
PR,21.0,22.0,12.0,,0.0,,,,,
PR,23.0,24.0,12.0,,0.0,,,,,
PR,24.0,25.0,12.0,,0.0,,,,,
PR,26.0,27.0,12.0,,0.0,,,,,
PR,27.0,28.0,12.0,,0.0,,,,,
PR,28.0,29.0,12.0,,0.0,,,,,
PR,29.0,30.0,12.0,,0.0,,,,,
PR,30.0,31.0,12.0,,0.0,,,,,
PR,31.0,32.0,12.0,,0.0,,,,,
PR,32.0,33.0,12.0,,0.0,,,,,
Pgd,,,,,,1.0,0.0,,,
Pgd,,,,,,2.0,0.0,,,
Pgd,,,,,,3.0,0.0,,,
Pgd,,,,,,4.0,0.0,,,
Pgd,,,,,,5.0,0.0,,,
Pgd,,,,,,6.0,0.0,,,
Pgd,,,,,,7.0,0.0,,,
Pgd,,,,,,8.0,0.0,,,
Pgd,,,,,,9.0,0.0,,,
Pgd,,,,,,10.0,0.0,,,
Pgd,,,,,,11.0,0.0,,,
Pgd,,,,,,12.0,0.0,,,
Pgd,,,,,,13.0,0.0,,,
Pgd,,,,,,14.0,0.0,,,
Pgd,,,,,,15.0,0.0,,,
Pgd,,,,,,16.0,0.0,,,
Pgd,,,,,,17.0,0.0,,,
Pgd,,,,,,18.0,0.09,,,
Pgd,,,,,,19.0,0.0,,,
Pgd,,,,,,20.0,0.0,,,
Pgd,,,,,,21.0,0.0,,,
Pgd,,,,,,22.0,0.045899999999999996,,,
Pgd,,,,,,23.0,0.0,,,
Pgd,,,,,,24.0,0.0,,,
Pgd,,,,,,25.0,0.0,,,
Pgd,,,,,,26.0,0.0,,,
Pgd,,,,,,27.0,0.0,,,
Pgd,,,,,,28.0,0.0,,,
Pgd,,,,,,29.0,0.0,,,
Pgd,,,,,,30.0,0.0,,,
Pgd,,,,,,31.0,0.0,,,
Pgd,,,,,,32.0,0.0,,,
Pgd,,,,,,33.0,0.027,,,
Ps,1.0,12.0,,,,,,0.0,,
Ps,2.0,12.0,,,,,,0.0,,
Ps,3.0,12.0,,,,,,0.0,,
Ps,4.0,12.0,,,,,,0.0,,
Ps,5.0,12.0,,,,,,0.0,,
Ps,6.0,12.0,,,,,,0.0,,
Ps,7.0,12.0,,,,,,0.0,,
Ps,8.0,12.0,,,,,,0.0,,
Ps,9.0,12.0,,,,,,0.0,,
Ps,10.0,12.0,,,,,,0.0,,
Ps,11.0,12.0,,,,,,0.0,,
Ps,12.0,12.0,,,,,,0.0,,
Ps,13.0,12.0,,,,,,0.0,,
Ps,14.0,12.0,,,,,,0.0,,
Ps,15.0,12.0,,,,,,0.0,,
Ps,16.0,12.0,,,,,,0.0,,
Ps,17.0,12.0,,,,,,0.0,,
Ps,18.0,12.0,,,,,,0.0,,
Ps,19.0,12.0,,,,,,0.0,,
Ps,20.0,12.0,,,,,,0.0,,
Ps,21.0,12.0,,,,,,0.0,,
Ps,22.0,12.0,,,,,,0.0,,
Ps,23.0,12.0,,,,,,0.0,,
Ps,24.0,12.0,,,,,,0.0,,
Ps,25.0,12.0,,,,,,0.2142,,
Ps,26.0,12.0,,,,,,0.0,,
Ps,27.0,12.0,,,,,,0.0,,
Ps,28.0,12.0,,,,,,0.0,,
Ps,29.0,12.0,,,,,,0.0,,
Ps,30.0,12.0,,,,,,0.0,,
Ps,31.0,12.0,,,,,,0.0,,
Ps,32.0,12.0,,,,,,0.0,,
Ps,33.0,12.0,,,,,,0.0,,
Qgd,,,,,,1.0,,,0.0,
Qgd,,,,,,2.0,,,0.0,
Qgd,,,,,,3.0,,,0.0,
Qgd,,,,,,4.0,,,0.0,
Qgd,,,,,,5.0,,,0.0,
Qgd,,,,,,6.0,,,0.0,
Qgd,,,,,,7.0,,,0.0,
Qgd,,,,,,8.0,,,0.0,
Qgd,,,,,,9.0,,,0.0,
Qgd,,,,,,10.0,,,0.0,
Qgd,,,,,,11.0,,,0.0,
Qgd,,,,,,12.0,,,0.0,
Qgd,,,,,,13.0,,,0.0,
Qgd,,,,,,14.0,,,0.0,
Qgd,,,,,,15.0,,,0.0,
Qgd,,,,,,16.0,,,0.0,
Qgd,,,,,,17.0,,,0.0,
Qgd,,,,,,18.0,,,0.0,
Qgd,,,,,,19.0,,,0.0,
Qgd,,,,,,20.0,,,0.0,
Qgd,,,,,,21.0,,,0.0,
Qgd,,,,,,22.0,,,0.0,
Qgd,,,,,,23.0,,,0.0,
Qgd,,,,,,24.0,,,0.0,
Qgd,,,,,,25.0,,,0.0,
Qgd,,,,,,26.0,,,0.0,
Qgd,,,,,,27.0,,,0.0,
Qgd,,,,,,28.0,,,0.0,
Qgd,,,,,,29.0,,,0.0,
Qgd,,,,,,30.0,,,0.0,
Qgd,,,,,,31.0,,,0.0,
Qgd,,,,,,32.0,,,0.0,
Qgd,,,,,,33.0,,,0.0,
Qs,1.0,12.0,,,,,,,,0.0
Qs,2.0,12.0,,,,,,,,0.0
Qs,3.0,12.0,,,,,,,,0.0
Qs,4.0,12.0,,,,,,,,0.0
Qs,5.0,12.0,,,,,,,,0.0
Qs,6.0,12.0,,,,,,,,0.0
Qs,7.0,12.0,,,,,,,,0.0
Qs,8.0,12.0,,,,,,,,0.0
Qs,9.0,12.0,,,,,,,,0.0
Qs,10.0,12.0,,,,,,,,0.0
Qs,11.0,12.0,,,,,,,,0.0
Qs,12.0,12.0,,,,,,,,0.0
Qs,13.0,12.0,,,,,,,,0.0
Qs,14.0,12.0,,,,,,,,0.0
Qs,15.0,12.0,,,,,,,,0.0
Qs,16.0,12.0,,,,,,,,0.0
Qs,17.0,12.0,,,,,,,,0.0
Qs,18.0,12.0,,,,,,,,0.0
Qs,19.0,12.0,,,,,,,,0.0
Qs,20.0,12.0,,,,,,,,0.0
Qs,21.0,12.0,,,,,,,,0.0
Qs,22.0,12.0,,,,,,,,0.0
Qs,23.0,12.0,,,,,,,,0.0
Qs,24.0,12.0,,,,,,,,0.0
Qs,25.0,12.0,,,,,,,,0.0
Qs,26.0,12.0,,,,,,,,0.0
Qs,27.0,12.0,,,,,,,,0.0
Qs,28.0,12.0,,,,,,,,0.0
Qs,29.0,12.0,,,,,,,,0.0
Qs,30.0,12.0,,,,,,,,0.0
Qs,31.0,12.0,,,,,,,,0.0
Qs,32.0,12.0,,,,,,,,0.0
Qs,33.0,12.0,,,,,,,,0.0
