
param Demanda :=
1 2 1 0.4792
1 2 2 0.3874
1 2 3 0.36
1 2 4 0.4089
1 2 5 0.3673
1 2 6 0.4935
1 2 7 0.7372
1 2 8 0.6678
1 2 9 0.5822
1 2 10 0.5922
1 2 11 0.6407
1 2 12 0.5578
1 2 13 0.6285
1 2 14 0.6455
1 2 15 0.5834
1 2 16 0.5639
1 2 17 0.4854
1 2 18 0.5386
1 2 19 0.742
1 2 20 0.7755
1 2 21 0.9772
1 2 22 0.747
1 2 23 0.6782
1 2 24 0.5755
1 3 1 0.3073
1 3 2 0.2945
1 3 3 0.2459
1 3 4 0.2883
1 3 5 0.2395
1 3 6 0.4107
1 3 7 0.4547
1 3 8 0.3776
1 3 9 0.3334
1 3 10 0.4812
1 3 11 0.4109
1 3 12 0.4212
1 3 13 0.6108
1 3 14 0.3766
1 3 15 0.3983
1 3 16 0.4762
1 3 17 0.4667
1 3 18 0.4733
1 3 19 0.7452
1 3 20 0.9568
1 3 21 0.9325
1 3 22 1.0257
1 3 23 0.6023
1 3 24 0.4024
1 4 1 0.2722
1 4 2 0.2524
1 4 3 0.2824
1 4 4 0.2693
1 4 5 0.2281
1 4 6 0.4122
1 4 7 0.7237
1 4 8 0.4413
1 4 9 0.4726
1 4 10 0.3661
1 4 11 0.3456
1 4 12 0.4591
1 4 13 0.4053
1 4 14 0.3909
1 4 15 0.3633
1 4 16 0.424
1 4 17 0.5168
1 4 18 0.3687
1 4 19 0.5572
1 4 20 0.863
1 4 21 0.9993
1 4 22 0.9067
1 4 23 0.6235
1 4 24 0.3681
1 5 1 0.2683
1 5 2 0.2562
1 5 3 0.2497
1 5 4 0.2647
1 5 5 0.2335
1 5 6 0.4148
1 5 7 0.7215
1 5 8 0.456
1 5 9 0.4376
1 5 10 0.3714
1 5 11 0.343
1 5 12 0.541
1 5 13 0.3774
1 5 14 0.385
1 5 15 0.355
1 5 16 0.4325
1 5 17 0.5106
1 5 18 0.3182
1 5 19 0.5914
1 5 20 0.7886
1 5 21 0.9187
1 5 22 0.8172
1 5 23 0.6941
1 5 24 0.3524
1 6 1 0.2699
1 6 2 0.2537
1 6 3 0.2615
1 6 4 0.2536
1 6 5 0.2222
1 6 6 0.4375
1 6 7 0.6558
1 6 8 0.4241
1 6 9 0.4167
1 6 10 0.3957
1 6 11 0.3645
1 6 12 0.5132
1 6 13 0.3689
1 6 14 0.3797
1 6 15 0.3689
1 6 16 0.4484
1 6 17 0.5162
1 6 18 0.318
1 6 19 0.6628
1 6 20 0.8711
1 6 21 0.9313
1 6 22 0.8794
1 6 23 0.7376
1 6 24 0.3343
1 7 1 0.486
1 7 2 0.4249
1 7 3 0.3853
1 7 4 0.4724
1 7 5 0.4182
1 7 6 0.4962
1 7 7 0.6916
1 7 8 0.7377
1 7 9 0.6323
1 7 10 0.6308
1 7 11 0.6655
1 7 12 0.592
1 7 13 0.6401
1 7 14 0.655
1 7 15 0.5664
1 7 16 0.6576
1 7 17 0.4479
1 7 18 0.4893
1 7 19 0.7322
1 7 20 0.8381
1 7 21 1.0625
1 7 22 0.8544
1 7 23 0.6158
1 7 24 0.5617
1 8 1 0.2942
1 8 2 0.2538
1 8 3 0.2799
1 8 4 0.266
1 8 5 0.2292
1 8 6 0.3806
1 8 7 0.4498
1 8 8 0.3959
1 8 9 0.3883
1 8 10 0.475
1 8 11 0.4086
1 8 12 0.4624
1 8 13 0.6084
1 8 14 0.3604
1 8 15 0.4194
1 8 16 0.4268
1 8 17 0.4529
1 8 18 0.5171
1 8 19 0.7777
1 8 20 0.863
1 8 21 0.9701
1 8 22 0.9229
1 8 23 0.6538
1 8 24 0.3587
1 9 1 0.3395
1 9 2 0.395
1 9 3 0.3582
1 9 4 0.3632
1 9 5 0.3526
1 9 6 0.3514
1 9 7 0.3539
1 9 8 0.5697
1 9 9 0.6786
1 9 10 0.4945
1 9 11 0.5357
1 9 12 1.067
1 9 13 0.8909
1 9 14 0.7247
1 9 15 0.6499
1 9 16 0.6375
1 9 17 0.5292
1 9 18 0.4695
1 9 19 0.621
1 9 20 0.6576
1 9 21 0.7727
1 9 22 0.744
1 9 23 0.617
1 9 24 0.596
1 10 1 0.2698
1 10 2 0.2298
1 10 3 0.2772
1 10 4 0.2527
1 10 5 0.2201
1 10 6 0.4825
1 10 7 0.74
1 10 8 0.425
1 10 9 0.403
1 10 10 0.3806
1 10 11 0.3428
1 10 12 0.5484
1 10 13 0.4379
1 10 14 0.4176
1 10 15 0.3932
1 10 16 0.4176
1 10 17 0.5069
1 10 18 0.3503
1 10 19 0.6288
1 10 20 0.7732
1 10 21 1.0946
1 10 22 0.7856
1 10 23 0.7572
1 10 24 0.3805
1 11 1 0.3035
1 11 2 0.258
1 11 3 0.2732
1 11 4 0.2432
1 11 5 0.2497
1 11 6 0.4031
1 11 7 0.7135
1 11 8 0.4479
1 11 9 0.451
1 11 10 0.3436
1 11 11 0.4114
1 11 12 0.5089
1 11 13 0.4015
1 11 14 0.4148
1 11 15 0.3975
1 11 16 0.3775
1 11 17 0.4933
1 11 18 0.3305
1 11 19 0.6549
1 11 20 0.7608
1 11 21 0.9446
1 11 22 0.9256
1 11 23 0.6401
1 11 24 0.3681
1 12 1 0.4705
1 12 2 0.3781
1 12 3 0.4057
1 12 4 0.4595
1 12 5 0.3667
1 12 6 0.5097
1 12 7 0.6667
1 12 8 0.6614
1 12 9 0.6362
1 12 10 0.6281
1 12 11 0.6615
1 12 12 0.5652
1 12 13 0.5438
1 12 14 0.5758
1 12 15 0.6518
1 12 16 0.6452
1 12 17 0.4414
1 12 18 0.5427
1 12 19 0.6861
1 12 20 0.8921
1 12 21 0.953
1 12 22 0.7159
1 12 23 0.7093
1 12 24 0.5438
1 13 1 0.2985
1 13 2 0.4076
1 13 3 0.3962
1 13 4 0.3121
1 13 5 0.3234
1 13 6 0.3611
1 13 7 0.3832
1 13 8 0.5457
1 13 9 0.6139
1 13 10 0.5715
1 13 11 0.5547
1 13 12 0.9083
1 13 13 0.9934
1 13 14 0.7624
1 13 15 0.6616
1 13 16 0.6442
1 13 17 0.5301
1 13 18 0.4673
1 13 19 0.5689
1 13 20 0.7831
1 13 21 0.7685
1 13 22 0.7785
1 13 23 0.6451
1 13 24 0.5243
1 14 1 0.4791
1 14 2 0.4059
1 14 3 0.3843
1 14 4 0.456
1 14 5 0.4259
1 14 6 0.541
1 14 7 0.7195
1 14 8 0.6535
1 14 9 0.548
1 14 10 0.5743
1 14 11 0.6743
1 14 12 0.5253
1 14 13 0.5323
1 14 14 0.6019
1 14 15 0.6128
1 14 16 0.5675
1 14 17 0.5083
1 14 18 0.5889
1 14 19 0.7088
1 14 20 0.7807
1 14 21 0.9151
1 14 22 0.7043
1 14 23 0.6289
1 14 24 0.5552
1 15 1 0.2821
1 15 2 0.273
1 15 3 0.2714
1 15 4 0.2456
1 15 5 0.209
1 15 6 0.4307
1 15 7 0.7015
1 15 8 0.4745
1 15 9 0.4705
1 15 10 0.3762
1 15 11 0.3751
1 15 12 0.5036
1 15 13 0.373
1 15 14 0.3498
1 15 15 0.3581
1 15 16 0.3852
1 15 17 0.5053
1 15 18 0.3428
1 15 19 0.6637
1 15 20 0.7837
1 15 21 0.9184
1 15 22 0.8592
1 15 23 0.7021
1 15 24 0.3328
1 16 1 0.3235
1 16 2 0.4129
1 16 3 0.4012
1 16 4 0.3184
1 16 5 0.3612
1 16 6 0.3384
1 16 7 0.3812
1 16 8 0.5742
1 16 9 0.6053
1 16 10 0.5269
1 16 11 0.5135
1 16 12 1.0006
1 16 13 0.9152
1 16 14 0.7209
1 16 15 0.6766
1 16 16 0.6874
1 16 17 0.5601
1 16 18 0.4539
1 16 19 0.6007
1 16 20 0.6673
1 16 21 0.7593
1 16 22 0.6726
1 16 23 0.6512
1 16 24 0.5425
1 17 1 0.4489
1 17 2 0.414
1 17 3 0.38
1 17 4 0.4185
1 17 5 0.3742
1 17 6 0.4981
1 17 7 0.6153
1 17 8 0.6149
1 17 9 0.6123
1 17 10 0.6145
1 17 11 0.6792
1 17 12 0.5743
1 17 13 0.6403
1 17 14 0.6474
1 17 15 0.5551
1 17 16 0.5869
1 17 17 0.4592
1 17 18 0.5125
1 17 19 0.6524
1 17 20 0.8144
1 17 21 0.9508
1 17 22 0.7588
1 17 23 0.6545
1 17 24 0.58
1 18 1 0.2997
1 18 2 0.3018
1 18 3 0.2673
1 18 4 0.2955
1 18 5 0.326
1 18 6 0.3466
1 18 7 0.4039
1 18 8 0.3501
1 18 9 0.3812
1 18 10 0.4313
1 18 11 0.5692
1 18 12 0.5875
1 18 13 0.548
1 18 14 0.5015
1 18 15 0.4986
1 18 16 0.4619
1 18 17 0.5158
1 18 18 0.5979
1 18 19 0.8381
1 18 20 0.9476
1 18 21 0.9118
1 18 22 0.7244
1 18 23 0.6521
1 18 24 0.4493
1 19 1 0.2798
1 19 2 0.3283
1 19 3 0.237
1 19 4 0.2811
1 19 5 0.311
1 19 6 0.3381
1 19 7 0.3675
1 19 8 0.383
1 19 9 0.3989
1 19 10 0.463
1 19 11 0.4905
1 19 12 0.5016
1 19 13 0.5639
1 19 14 0.5466
1 19 15 0.4337
1 19 16 0.4144
1 19 17 0.4747
1 19 18 0.6265
1 19 19 0.9691
1 19 20 0.9634
1 19 21 0.8233
1 19 22 0.7944
1 19 23 0.5741
1 19 24 0.4935
1 20 1 0.3455
1 20 2 0.4131
1 20 3 0.4037
1 20 4 0.3447
1 20 5 0.3618
1 20 6 0.3834
1 20 7 0.3905
1 20 8 0.5414
1 20 9 0.6343
1 20 10 0.519
1 20 11 0.5708
1 20 12 1.0567
1 20 13 0.9887
1 20 14 0.7048
1 20 15 0.6833
1 20 16 0.5927
1 20 17 0.5746
1 20 18 0.4658
1 20 19 0.6607
1 20 20 0.717
1 20 21 0.7948
1 20 22 0.7689
1 20 23 0.6139
1 20 24 0.4992
1 21 1 0.4645
1 21 2 0.414
1 21 3 0.3435
1 21 4 0.4433
1 21 5 0.3953
1 21 6 0.4954
1 21 7 0.7138
1 21 8 0.6679
1 21 9 0.633
1 21 10 0.6061
1 21 11 0.6216
1 21 12 0.5239
1 21 13 0.6212
1 21 14 0.562
1 21 15 0.6597
1 21 16 0.5811
1 21 17 0.5029
1 21 18 0.5642
1 21 19 0.781
1 21 20 0.8453
1 21 21 0.9312
1 21 22 0.7056
1 21 23 0.6269
1 21 24 0.6002
1 22 1 0.348
1 22 2 0.3521
1 22 3 0.3437
1 22 4 0.3345
1 22 5 0.3667
1 22 6 0.3329
1 22 7 0.3989
1 22 8 0.5468
1 22 9 0.6793
1 22 10 0.5333
1 22 11 0.5809
1 22 12 1.0589
1 22 13 0.8681
1 22 14 0.7565
1 22 15 0.6186
1 22 16 0.6105
1 22 17 0.5369
1 22 18 0.4658
1 22 19 0.6431
1 22 20 0.7551
1 22 21 0.7561
1 22 22 0.6861
1 22 23 0.7011
1 22 24 0.5525
1 23 1 0.2941
1 23 2 0.3367
1 23 3 0.2807
1 23 4 0.2631
1 23 5 0.3334
1 23 6 0.3455
1 23 7 0.3727
1 23 8 0.334
1 23 9 0.4249
1 23 10 0.5021
1 23 11 0.5263
1 23 12 0.5689
1 23 13 0.5731
1 23 14 0.5371
1 23 15 0.4618
1 23 16 0.4147
1 23 17 0.5067
1 23 18 0.6398
1 23 19 1.0096
1 23 20 0.9355
1 23 21 0.9201
1 23 22 0.7793
1 23 23 0.6848
1 23 24 0.4196
1 24 1 0.3252
1 24 2 0.2695
1 24 3 0.2595
1 24 4 0.2566
1 24 5 0.2328
1 24 6 0.3796
1 24 7 0.4346
1 24 8 0.3491
1 24 9 0.3564
1 24 10 0.4182
1 24 11 0.4001
1 24 12 0.4466
1 24 13 0.5336
1 24 14 0.3689
1 24 15 0.4149
1 24 16 0.4716
1 24 17 0.4649
1 24 18 0.4944
1 24 19 0.7468
1 24 20 0.9197
1 24 21 0.9847
1 24 22 1.0936
1 24 23 0.6545
1 24 24 0.3619
1 25 1 0.4252
1 25 2 0.4424
1 25 3 0.3464
1 25 4 0.4235
1 25 5 0.3921
1 25 6 0.475
1 25 7 0.7194
1 25 8 0.7063
1 25 9 0.616
1 25 10 0.5839
1 25 11 0.6751
1 25 12 0.5154
1 25 13 0.607
1 25 14 0.6223
1 25 15 0.6326
1 25 16 0.6521
1 25 17 0.4566
1 25 18 0.5474
1 25 19 0.771
1 25 20 0.759
1 25 21 0.9761
1 25 22 0.7304
1 25 23 0.7321
1 25 24 0.5414
1 26 1 0.2982
1 26 2 0.3873
1 26 3 0.3993
1 26 4 0.3472
1 26 5 0.3646
1 26 6 0.3251
1 26 7 0.3959
1 26 8 0.5299
1 26 9 0.64
1 26 10 0.5664
1 26 11 0.5816
1 26 12 1.0463
1 26 13 0.867
