
param Generacion :=
1 2 1 0.0
1 2 2 0.0
1 2 3 0.0
1 2 4 0.0
1 2 5 0.0
1 2 6 0.0914
1 2 7 0.3134
1 2 8 0.5361
1 2 9 0.764
1 2 10 0.7982
1 2 11 0.8653
1 2 12 0.9347
1 2 13 0.9303
1 2 14 0.9714
1 2 15 0.8092
1 2 16 0.7186
1 2 17 0.5471
1 2 18 0.304
1 2 19 0.0982
1 2 20 0.0
1 2 21 0.0
1 2 22 0.0
1 2 23 0.0
1 2 24 0.0
1 3 1 0.0
1 3 2 0.0
1 3 3 0.0
1 3 4 0.0
1 3 5 0.0
1 3 6 0.1065
1 3 7 0.2806
1 3 8 0.459
1 3 9 0.6697
1 3 10 0.9144
1 3 11 0.9296
1 3 12 0.911
1 3 13 0.9577
1 3 14 0.8442
1 3 15 0.8486
1 3 16 0.7436
1 3 17 0.4787
1 3 18 0.3249
1 3 19 0.1018
1 3 20 0.0
1 3 21 0.0
1 3 22 0.0
1 3 23 0.0
1 3 24 0.0
1 4 1 0.0
1 4 2 0.0
1 4 3 0.0
1 4 4 0.0
1 4 5 0.0
1 4 6 0.1047
1 4 7 0.3211
1 4 8 0.4696
1 4 9 0.6938
1 4 10 0.7761
1 4 11 0.9419
1 4 12 1.0397
1 4 13 0.9725
1 4 14 0.9394
1 4 15 0.8744
1 4 16 0.6382
1 4 17 0.5057
1 4 18 0.2786
1 4 19 0.1092
1 4 20 0.0
1 4 21 0.0
1 4 22 0.0
1 4 23 0.0
1 4 24 0.0
1 5 1 0.0
1 5 2 0.0
1 5 3 0.0
1 5 4 0.0
1 5 5 0.0
1 5 6 0.0937
1 5 7 0.2784
1 5 8 0.5331
1 5 9 0.6879
1 5 10 0.8277
1 5 11 1.0137
1 5 12 1.0497
1 5 13 1.0584
1 5 14 0.9724
1 5 15 0.909
1 5 16 0.6569
1 5 17 0.451
1 5 18 0.3093
1 5 19 0.1015
1 5 20 0.0
1 5 21 0.0
1 5 22 0.0
1 5 23 0.0
1 5 24 0.0
1 6 1 0.0
1 6 2 0.0
1 6 3 0.0
1 6 4 0.0
1 6 5 0.0
1 6 6 0.1016
1 6 7 0.2793
1 6 8 0.5153
1 6 9 0.7158
1 6 10 0.7734
1 6 11 0.9446
1 6 12 1.0272
1 6 13 1.0068
1 6 14 0.831
1 6 15 0.8625
1 6 16 0.716
1 6 17 0.5168
1 6 18 0.3243
1 6 19 0.0941
1 6 20 0.0
1 6 21 0.0
1 6 22 0.0
1 6 23 0.0
1 6 24 0.0
1 7 1 0.0
1 7 2 0.0
1 7 3 0.0
1 7 4 0.0
1 7 5 0.0
1 7 6 0.0915
1 7 7 0.2739
1 7 8 0.4617
1 7 9 0.7235
1 7 10 0.842
1 7 11 1.0152
1 7 12 1.0136
1 7 13 0.914
1 7 14 0.8798
1 7 15 0.7978
1 7 16 0.6516
1 7 17 0.5367
1 7 18 0.3095
1 7 19 0.1054
1 7 20 0.0
1 7 21 0.0
1 7 22 0.0
1 7 23 0.0
1 7 24 0.0
1 8 1 0.0
1 8 2 0.0
1 8 3 0.0
1 8 4 0.0
1 8 5 0.0
1 8 6 0.0995
1 8 7 0.2752
1 8 8 0.5331
1 8 9 0.6695
1 8 10 0.8829
1 8 11 0.9993
1 8 12 1.0
1 8 13 0.9806
1 8 14 0.8613
1 8 15 0.9264
1 8 16 0.7027
1 8 17 0.485
1 8 18 0.2815
1 8 19 0.0972
1 8 20 0.0
1 8 21 0.0
1 8 22 0.0
1 8 23 0.0
1 8 24 0.0
1 9 1 0.0
1 9 2 0.0
1 9 3 0.0
1 9 4 0.0
1 9 5 0.0
1 9 6 0.096
1 9 7 0.2751
1 9 8 0.501
1 9 9 0.6568
1 9 10 0.839
1 9 11 0.8678
1 9 12 1.0166
1 9 13 0.9778
1 9 14 0.9243
1 9 15 0.7688
1 9 16 0.7649
1 9 17 0.5496
1 9 18 0.3292
1 9 19 0.0956
1 9 20 0.0
1 9 21 0.0
1 9 22 0.0
1 9 23 0.0
1 9 24 0.0
1 10 1 0.0
1 10 2 0.0
1 10 3 0.0
1 10 4 0.0
1 10 5 0.0
1 10 6 0.1085
1 10 7 0.3039
1 10 8 0.4992
1 10 9 0.6927
1 10 10 0.8274
1 10 11 0.8888
1 10 12 0.9508
1 10 13 0.9491
1 10 14 0.8376
1 10 15 0.8237
1 10 16 0.6949
1 10 17 0.488
1 10 18 0.278
1 10 19 0.0924
1 10 20 0.0
1 10 21 0.0
1 10 22 0.0
1 10 23 0.0
1 10 24 0.0
1 11 1 0.0
1 11 2 0.0
1 11 3 0.0
1 11 4 0.0
1 11 5 0.0
1 11 6 0.1046
1 11 7 0.3135
1 11 8 0.4567
1 11 9 0.7661
1 11 10 0.9281
1 11 11 0.9392
1 11 12 0.9756
1 11 13 0.9714
1 11 14 0.885
1 11 15 0.8902
1 11 16 0.6843
1 11 17 0.4591
1 11 18 0.3106
1 11 19 0.11
1 11 20 0.0
1 11 21 0.0
1 11 22 0.0
1 11 23 0.0
1 11 24 0.0
1 12 1 0.0
1 12 2 0.0
1 12 3 0.0
1 12 4 0.0
1 12 5 0.0
1 12 6 0.1076
1 12 7 0.279
1 12 8 0.4686
1 12 9 0.72
1 12 10 0.7758
1 12 11 0.9708
1 12 12 0.9615
1 12 13 1.0091
1 12 14 0.8963
1 12 15 0.7712
1 12 16 0.661
1 12 17 0.472
1 12 18 0.3076
1 12 19 0.1096
1 12 20 0.0
1 12 21 0.0
1 12 22 0.0
1 12 23 0.0
1 12 24 0.0
1 13 1 0.0
1 13 2 0.0
1 13 3 0.0
1 13 4 0.0
1 13 5 0.0
1 13 6 0.1045
1 13 7 0.323
1 13 8 0.4648
1 13 9 0.6558
1 13 10 0.8817
1 13 11 1.0388
1 13 12 1.0023
1 13 13 0.9339
1 13 14 0.894
1 13 15 0.9059
1 13 16 0.6644
