Variable,index0,index1,index2,I.val,P.val,index,Pgd.val,Ps.val,Q.val,Qgd.val,Qs.val,V.val
I,1.0,2.0,5.0,1.51219042312502,,,,,,,,
I,1.0,2.0,6.0,1.4036560513347005,,,,,,,,
I,1.0,2.0,7.0,1.1114860305585508,,,,,,,,
I,1.0,2.0,8.0,1.6764423296983197,,,,,,,,
I,1.0,2.0,9.0,1.6547049673295562,,,,,,,,
I,1.0,2.0,10.0,1.2620064992108169,,,,,,,,
I,1.0,2.0,11.0,1.368557841647772,,,,,,,,
I,1.0,2.0,12.0,2.8602300387957325,,,,,,,,
I,1.0,2.0,13.0,2.6780125554796275,,,,,,,,
I,1.0,2.0,14.0,1.9242942965143555,,,,,,,,
I,1.0,2.0,15.0,1.6868257108230147,,,,,,,,
I,1.0,2.0,16.0,1.7701774249009634,,,,,,,,
I,1.0,2.0,17.0,1.5523904914076954,,,,,,,,
I,1.0,2.0,18.0,1.5839443437878995,,,,,,,,
I,1.0,2.0,19.0,2.589341448567311,,,,,,,,
I,2.0,3.0,5.0,1.339641817936929,,,,,,,,
I,2.0,3.0,6.0,1.223722555994467,,,,,,,,
I,2.0,3.0,7.0,0.9440536561872391,,,,,,,,
I,2.0,3.0,8.0,1.424167929180795,,,,,,,,
I,2.0,3.0,9.0,1.4154156545055823,,,,,,,,
I,2.0,3.0,10.0,1.1597261995368398,,,,,,,,
I,2.0,3.0,11.0,1.2716551158571283,,,,,,,,
I,2.0,3.0,12.0,2.4384261967873466,,,,,,,,
I,2.0,3.0,13.0,2.2843674282743396,,,,,,,,
I,2.0,3.0,14.0,1.6623798918266017,,,,,,,,
I,2.0,3.0,15.0,1.463991763509229,,,,,,,,
I,2.0,3.0,16.0,1.5100441670984974,,,,,,,,
I,2.0,3.0,17.0,1.3184339611053546,,,,,,,,
I,2.0,3.0,18.0,1.3550959746712914,,,,,,,,
I,2.0,3.0,19.0,2.2764600992466884,,,,,,,,
I,2.0,19.0,5.0,0.13424464102234573,,,,,,,,
I,2.0,19.0,6.0,0.14214062845118428,,,,,,,,
I,2.0,19.0,7.0,0.14605970644653493,,,,,,,,
I,2.0,19.0,8.0,0.22525071245474154,,,,,,,,
I,2.0,19.0,9.0,0.24502925066410403,,,,,,,,
I,2.0,19.0,10.0,0.20533625104354136,,,,,,,,
I,2.0,19.0,11.0,0.22116360323080686,,,,,,,,
I,2.0,19.0,12.0,0.39606518924392087,,,,,,,,
I,2.0,19.0,13.0,0.37614493260845666,,,,,,,,
I,2.0,19.0,14.0,0.29260874218410077,,,,,,,,
I,2.0,19.0,15.0,0.26085912279868145,,,,,,,,
I,2.0,19.0,16.0,0.25693653902420494,,,,,,,,
I,2.0,19.0,17.0,0.21335297438476425,,,,,,,,
I,2.0,19.0,18.0,0.18962088049344575,,,,,,,,
I,2.0,19.0,19.0,0.24522431399052053,,,,,,,,
I,3.0,4.0,5.0,0.9554214674347677,,,,,,,,
I,3.0,4.0,6.0,0.8279010925200168,,,,,,,,
I,3.0,4.0,7.0,0.6169163001771935,,,,,,,,
I,3.0,4.0,8.0,0.945197798463911,,,,,,,,
I,3.0,4.0,9.0,1.0435464619347148,,,,,,,,
I,3.0,4.0,10.0,1.14147835716705,,,,,,,,
I,3.0,4.0,11.0,1.2803869295743415,,,,,,,,
I,3.0,4.0,12.0,1.6860646615701407,,,,,,,,
I,3.0,4.0,13.0,1.6004311827359763,,,,,,,,
I,3.0,4.0,14.0,1.3050306913812408,,,,,,,,
I,3.0,4.0,15.0,1.1832303880649053,,,,,,,,
I,3.0,4.0,16.0,1.0828441375835642,,,,,,,,
I,3.0,4.0,17.0,0.8876312704884656,,,,,,,,
I,3.0,4.0,18.0,0.8759927553336085,,,,,,,,
I,3.0,4.0,19.0,1.5796420987769242,,,,,,,,
I,3.0,23.0,5.0,0.3545619497588387,,,,,,,,
I,3.0,23.0,6.0,0.37529568172039085,,,,,,,,
I,3.0,23.0,7.0,0.38516908869065186,,,,,,,,
I,3.0,23.0,8.0,0.5956821601994945,,,,,,,,
I,3.0,23.0,9.0,0.6477903623909084,,,,,,,,
