
param Generacion :=
1 1 0
1 2 0
1 3 0
1 4 0
1 5 0
1 6 0.1
1 7 0.3
1 8 0.5
1 9 0.7
1 10 0.85
1 11 0.95
1 12 1.0
1 13 0.98
1 14 0.92
1 15 0.85
1 16 0.7
1 17 0.5
1 18 0.3
1 19 0.1
1 20 0
1 21 0
1 22 0
1 23 0
1 24 0
1 25 1
2 1 0
2 2 0
2 3 0
2 4 0
2 5 0
2 6 0.1
2 7 0.3
2 8 0.5
2 9 0.7
2 10 0.85
2 11 0.95
2 12 1.0
2 13 0.98
2 14 0.92
2 15 0.85
2 16 0.7
2 17 0.5
2 18 0.3
2 19 0.1
2 20 0
2 21 0
2 22 0
2 23 0
2 24 0
2 25 1
3 1 0
3 2 0
3 3 0
3 4 0
3 5 0
3 6 0.1
3 7 0.3
3 8 0.5
3 9 0.7
3 10 0.85
3 11 0.95
3 12 1.0
3 13 0.98
3 14 0.92
3 15 0.85
3 16 0.7
3 17 0.5
3 18 0.3
3 19 0.1
3 20 0
3 21 0
3 22 0
3 23 0
3 24 0
3 25 1
4 1 0
4 2 0
4 3 0
4 4 0
4 5 0
4 6 0.1
4 7 0.3
4 8 0.5
4 9 0.7
4 10 0.85
4 11 0.95
4 12 1.0
4 13 0.98
4 14 0.92
4 15 0.85
4 16 0.7
4 17 0.5
4 18 0.3
4 19 0.1
4 20 0
4 21 0
4 22 0
4 23 0
4 24 0
4 25 1
5 1 0
5 2 0
5 3 0
5 4 0
5 5 0
5 6 0.1
5 7 0.3
5 8 0.5
5 9 0.7
5 10 0.85
5 11 0.95
5 12 1.0
5 13 0.98
5 14 0.92
5 15 0.85
5 16 0.7
5 17 0.5
5 18 0.3
5 19 0.1
5 20 0
5 21 0
5 22 0
5 23 0
5 24 0
5 25 1
6 1 0
6 2 0
6 3 0
6 4 0
6 5 0
6 6 0.1
6 7 0.3
6 8 0.5
6 9 0.7
6 10 0.85
6 11 0.95
6 12 1.0
6 13 0.98
6 14 0.92
6 15 0.85
6 16 0.7
6 17 0.5
6 18 0.3
6 19 0.1
6 20 0
6 21 0
6 22 0
6 23 0
6 24 0
6 25 1
7 1 0
7 2 0
7 3 0
7 4 0
7 5 0
7 6 0.1
7 7 0.3
7 8 0.5
7 9 0.7
7 10 0.85
7 11 0.95
7 12 1.0
7 13 0.98
7 14 0.92
7 15 0.85
7 16 0.7
7 17 0.5
7 18 0.3
7 19 0.1
7 20 0
7 21 0
7 22 0
7 23 0
7 24 0
7 25 1
8 1 0
8 2 0
8 3 0
8 4 0
8 5 0
8 6 0.1
8 7 0.3
8 8 0.5
8 9 0.7
8 10 0.85
8 11 0.95
8 12 1.0
8 13 0.98
8 14 0.92
8 15 0.85
8 16 0.7
8 17 0.5
8 18 0.3
8 19 0.1
8 20 0
8 21 0
8 22 0
8 23 0
8 24 0
8 25 1
9 1 0
9 2 0
9 3 0
9 4 0
9 5 0
9 6 0.1
9 7 0.3
9 8 0.5
9 9 0.7
9 10 0.85
9 11 0.95
9 12 1.0
9 13 0.98
9 14 0.92
9 15 0.85
9 16 0.7
9 17 0.5
9 18 0.3
9 19 0.1
9 20 0
9 21 0
9 22 0
9 23 0
9 24 0
9 25 1
10 1 0
10 2 0
10 3 0
10 4 0
10 5 0
10 6 0.1
10 7 0.3
10 8 0.5
10 9 0.7
10 10 0.85
10 11 0.95
10 12 1.0
10 13 0.98
10 14 0.92
10 15 0.85
10 16 0.7
10 17 0.5
10 18 0.3
10 19 0.1
10 20 0
10 21 0
10 22 0
10 23 0
10 24 0
10 25 1
11 1 0
11 2 0
11 3 0
11 4 0
11 5 0
11 6 0.1
11 7 0.3
11 8 0.5
11 9 0.7
11 10 0.85
11 11 0.95
11 12 1.0
11 13 0.98
11 14 0.92
11 15 0.85
11 16 0.7
11 17 0.5
11 18 0.3
11 19 0.1
11 20 0
11 21 0
11 22 0
11 23 0
11 24 0
11 25 1
12 1 0
12 2 0
12 3 0
12 4 0
12 5 0
12 6 0.1
12 7 0.3
12 8 0.5
12 9 0.7
12 10 0.85
12 11 0.95
12 12 1.0
12 13 0.98
12 14 0.92
12 15 0.85
12 16 0.7
12 17 0.5
12 18 0.3
12 19 0.1
12 20 0
12 21 0
12 22 0
12 23 0
12 24 0
12 25 1
13 1 0
13 2 0
13 3 0
13 4 0
13 5 0
13 6 0.1
13 7 0.3
13 8 0.5
13 9 0.7
13 10 0.85
13 11 0.95
13 12 1.0
13 13 0.98
13 14 0.92
13 15 0.85
13 16 0.7
13 17 0.5
13 18 0.3
13 19 0.1
13 20 0
13 21 0
13 22 0
13 23 0
13 24 0
13 25 1
14 1 0
14 2 0
14 3 0
14 4 0
14 5 0
14 6 0.1
14 7 0.3
14 8 0.5
14 9 0.7
14 10 0.85
14 11 0.95
14 12 1.0
14 13 0.98
14 14 0.92
14 15 0.85
14 16 0.7
14 17 0.5
14 18 0.3
14 19 0.1
14 20 0
14 21 0
14 22 0
14 23 0
14 24 0
14 25 1
15 1 0
15 2 0
15 3 0
15 4 0
15 5 0
15 6 0.1
15 7 0.3
15 8 0.5
15 9 0.7
15 10 0.85
15 11 0.95
15 12 1.0
15 13 0.98
15 14 0.92
15 15 0.85
15 16 0.7
15 17 0.5
15 18 0.3
15 19 0.1
15 20 0
15 21 0
15 22 0
15 23 0
15 24 0
15 25 1
16 1 0
16 2 0
16 3 0
16 4 0
16 5 0
16 6 0.1
16 7 0.3
16 8 0.5
16 9 0.7
16 10 0.85
16 11 0.95
16 12 1.0
16 13 0.98
16 14 0.92
16 15 0.85
16 16 0.7
16 17 0.5
16 18 0.3
16 19 0.1
16 20 0
16 21 0
16 22 0
16 23 0
16 24 0
16 25 1
17 1 0
17 2 0
17 3 0
17 4 0
17 5 0
17 6 0.1
17 7 0.3
17 8 0.5
17 9 0.7
17 10 0.85
17 11 0.95
17 12 1.0
17 13 0.98
17 14 0.92
17 15 0.85
17 16 0.7
17 17 0.5
17 18 0.3
17 19 0.1
17 20 0
17 21 0
17 22 0
17 23 0
17 24 0
17 25 1
18 1 0
18 2 0
18 3 0
18 4 0
18 5 0
18 6 0.1
18 7 0.3
18 8 0.5
18 9 0.7
18 10 0.85
18 11 0.95
18 12 1.0
18 13 0.98
18 14 0.92
18 15 0.85
18 16 0.7
18 17 0.5
18 18 0.3
18 19 0.1
18 20 0
18 21 0
18 22 0
18 23 0
18 24 0
18 25 1
19 1 0
19 2 0
19 3 0
19 4 0
19 5 0
19 6 0.1
19 7 0.3
19 8 0.5
19 9 0.7
19 10 0.85
19 11 0.95
19 12 1.0
19 13 0.98
19 14 0.92
19 15 0.85
19 16 0.7
19 17 0.5
19 18 0.3
19 19 0.1
19 20 0
19 21 0
19 22 0
19 23 0
19 24 0
19 25 1
20 1 0
20 2 0
20 3 0
20 4 0
20 5 0
20 6 0.1
20 7 0.3
20 8 0.5
20 9 0.7
20 10 0.85
20 11 0.95
20 12 1.0
20 13 0.98
20 14 0.92
20 15 0.85
20 16 0.7
20 17 0.5
20 18 0.3
20 19 0.1
20 20 0
20 21 0
20 22 0
20 23 0
20 24 0
20 25 1
21 1 0
21 2 0
21 3 0
21 4 0
21 5 0
21 6 0.1
21 7 0.3
21 8 0.5
21 9 0.7
21 10 0.85
21 11 0.95
21 12 1.0
21 13 0.98
21 14 0.92
21 15 0.85
21 16 0.7
21 17 0.5
21 18 0.3
21 19 0.1
21 20 0
21 21 0
21 22 0
21 23 0
21 24 0
21 25 1
22 1 0
22 2 0
22 3 0
22 4 0
22 5 0
22 6 0.1
22 7 0.3
22 8 0.5
22 9 0.7
22 10 0.85
22 11 0.95
22 12 1.0
22 13 0.98
22 14 0.92
22 15 0.85
22 16 0.7
22 17 0.5
22 18 0.3
22 19 0.1
22 20 0
22 21 0
22 22 0
22 23 0
22 24 0
22 25 1
23 1 0
23 2 0
23 3 0
23 4 0
23 5 0
23 6 0.1
23 7 0.3
23 8 0.5
23 9 0.7
23 10 0.85
23 11 0.95
23 12 1.0
23 13 0.98
23 14 0.92
23 15 0.85
23 16 0.7
23 17 0.5
23 18 0.3
23 19 0.1
23 20 0
23 21 0
23 22 0
23 23 0
23 24 0
23 25 1
24 1 0
24 2 0
24 3 0
24 4 0
24 5 0
24 6 0.1
24 7 0.3
24 8 0.5
24 9 0.7
24 10 0.85
24 11 0.95
24 12 1.0
24 13 0.98
24 14 0.92
24 15 0.85
24 16 0.7
24 17 0.5
24 18 0.3
24 19 0.1
24 20 0
24 21 0
24 22 0
24 23 0
24 24 0
24 25 1
25 1 0
25 2 0
25 3 0
25 4 0
25 5 0
25 6 0.1
25 7 0.3
25 8 0.5
25 9 0.7
25 10 0.85
25 11 0.95
25 12 1.0
25 13 0.98
25 14 0.92
25 15 0.85
25 16 0.7
25 17 0.5
25 18 0.3
25 19 0.1
25 20 0
25 21 0
25 22 0
25 23 0
25 24 0
25 25 1
26 1 0
26 2 0
26 3 0
26 4 0
26 5 0
26 6 0.1
26 7 0.3
26 8 0.5
26 9 0.7
26 10 0.85
26 11 0.95
26 12 1.0
26 13 0.98
26 14 0.92
26 15 0.85
26 16 0.7
26 17 0.5
26 18 0.3
26 19 0.1
26 20 0
26 21 0
26 22 0
26 23 0
26 24 0
26 25 1
27 1 0
27 2 0
27 3 0
27 4 0
27 5 0
27 6 0.1
27 7 0.3
27 8 0.5
27 9 0.7
27 10 0.85
27 11 0.95
27 12 1.0
27 13 0.98
27 14 0.92
27 15 0.85
27 16 0.7
27 17 0.5
27 18 0.3
27 19 0.1
27 20 0
27 21 0
27 22 0
27 23 0
27 24 0
27 25 1
28 1 0
28 2 0
28 3 0
28 4 0
28 5 0
28 6 0.1
28 7 0.3
28 8 0.5
28 9 0.7
28 10 0.85
28 11 0.95
28 12 1.0
28 13 0.98
28 14 0.92
28 15 0.85
28 16 0.7
28 17 0.5
28 18 0.3
28 19 0.1
28 20 0
28 21 0
28 22 0
28 23 0
28 24 0
28 25 1
29 1 0
29 2 0
29 3 0
29 4 0
29 5 0
29 6 0.1
29 7 0.3
29 8 0.5
29 9 0.7
29 10 0.85
29 11 0.95
29 12 1.0
29 13 0.98
29 14 0.92
29 15 0.85
29 16 0.7
29 17 0.5
29 18 0.3
29 19 0.1
29 20 0
29 21 0
29 22 0
29 23 0
29 24 0
29 25 1
30 1 0
30 2 0
30 3 0
30 4 0
30 5 0
30 6 0.1
30 7 0.3
30 8 0.5
30 9 0.7
30 10 0.85
30 11 0.95
30 12 1.0
30 13 0.98
30 14 0.92
30 15 0.85
30 16 0.7
30 17 0.5
30 18 0.3
30 19 0.1
30 20 0
